name,price,type_of_meat,weight
Acana Premium Pate Jagnięcina Mokra Karma dla kota op. 8x85g,69.0,jagnięcina,680.0
Acana Premium Pate Kitten Kurczak i Ryba Mokra Karma dla kociąt op. 8x85g,69.0,kurczak; ryba,680.0
Acana Premium Pate Łosoś i Kurczak Mokra Karma dla kota op. 8x85g,69.0,kurczak; łosoś,680.0
Acana Premium Pate Tuńczyk i Kurczak Mokra Karma dla kota op. 8x85g,69.0,kurczak; tuńczyk,680.0
Animonda Carny Adult Koktajl Mięsny Mokra Karma dla kota op. 200g,6.5,Mix,200.0
Animonda Carny Adult Koktajl Mięsny Mokra Karma dla kota op. 200g Pakiet 12szt.,76.8,Mix,200.0
Animonda Carny Adult Koktajl Mięsny Mokra Karma dla kota op. 400g,70.8,Mix,400.0
Animonda Carny Adult Koktajl Mięsny Mokra Karma dla kota op. 400g Pakiet 6szt.,10.9,Mix,400.0
Animonda Carny Adult Koktajl Mięsny Mokra Karma dla kota op. 800g,9.9,Mix,800.0
Animonda Carny Adult Koktajl Mięsny Mokra Karma dla kota op. 800g Pakiet 6szt.,63.6,Mix,800.0
Animonda Carny Adult Kurczak i Łosoś Mokra Karma dla kota op. 200g,57.6,kurczak; łosoś,200.0
Animonda Carny Adult Kurczak i Łosoś Mokra Karma dla kota op. 200g Pakiet 12 szt.,17.9,kurczak; łosoś,200.0
Animonda Carny Adult Kurczak i Łosoś Mokra Karma dla kota op. 400g,106.2,kurczak; łosoś,400.0
Animonda Carny Adult Kurczak i Łosoś Mokra Karma dla kota op. 400g Pakiet 6 szt.,6.5,kurczak; łosoś,400.0
Animonda Carny Adult Mokra Karma dla kota PAKIET 1 12x400g,76.8,Mix,4800.0
Animonda Carny Adult Mokra Karma dla kota PAKIET 2 12x400g,70.8,Mix,4800.0
Animonda Carny Adult Wołowina i Dorsz z pietruszką Mokra Karma dla kota op. 200g,10.9,wołowina; dorsz,200.0
Animonda Carny Adult Wołowina i Dorsz z pietruszką Mokra Karma dla kota op. 200g Pakiet 12szt.,9.9,wołowina; dorsz,200.0
